android,Contains resource classes used by applications included in the platform and defines application permissions for system features.
android.accessibilityservice,The classes in this package are used for development of accessibility service that provide alternative or augmented feedback to the user.
android.accounts,
android.animation,"These classes provide functionality for the property animation system, which allows you to animate object properties of any type. int, float, and hexadecimal color values are supported by default. You can animate any other type by telling the system how to calculate the values for that given type with a custom TypeEvaluator.
For more information, see the Animation guide."
android.annotation,
android.app,Contains high-level classes encapsulating the overall Android application model.
android.app.admin,"Provides device administration features at the system level, allowing you to create security-aware applications that are useful in enterprise settings, in which IT professionals require rich control over employee devices.
For more information, see the Device Administration guide."
android.app.assist,
android.app.backup,"Contains the backup and restore functionality available to applications. If a user wipes the data on their device or upgrades to a new Android-powered device, all applications that have enabled backup can restore the user's previous data when the application is reinstalled.
For more information, see the Data Backup guide."
android.app.job,
android.app.usage,
android.appwidget,"Contains the components necessary to create ""app widgets"", which users can embed in other applications (such as the home screen) to quickly access application data and services without launching a new activity.
For more information, see the App Widgets guide."
android.bluetooth,"Provides classes that manage Bluetooth functionality, such as scanning for devices, connecting with devices, and managing data transfer between devices. The Bluetooth API supports both ""Classic Bluetooth"" and Bluetooth Low Energy.
For more information about Classic Bluetooth, see the Bluetooth guide. For more information about Bluetooth Low Energy, see the Bluetooth Low Energy (BLE) guide."
android.bluetooth.le,
android.companion,
android.content,Contains classes for accessing and publishing data on a device.
android.content.pm,"Contains classes for accessing information about an application package, including information about its activities, permissions, services, signatures, and providers."
android.content.res,"Contains classes for accessing application resources, such as raw asset files, colors, drawables, media or other other files in the package, plus important device configuration details (orientation, input types, etc.) that affect how the application may behave.
For more information, see the Application Resources guide."
android.database,Contains classes to explore data returned through a content provider.
android.database.sqlite,Contains the SQLite database management classes that an application would use to manage its own private database.
android.databinding,Contains components used when developing applications with data binding.
android.drm,Provides classes for managing DRM content and determining the capabilities of DRM plugins (agents).
android.gesture,"Provides classes to create, recognize, load and save gestures."
android.graphics,"Provides low level graphics tools such as canvases, color filters, points, and rectangles that let you handle drawing to the screen directly."
android.graphics.drawable,"Provides classes to manage a variety of visual elements that are intended for display only, such as bitmaps and gradients."
android.graphics.drawable.shapes,Contains classes for drawing geometric shapes.
android.graphics.fonts,
android.graphics.pdf,Contains classes for manipulation of PDF content.
android.hardware,"Provides support for hardware features, such as the camera and other sensors."
android.hardware.camera2,The android.hardware.camera2 package provides an interface to individual camera devices connected to an Android device.
android.hardware.camera2.params,
android.hardware.display,
android.hardware.fingerprint,
android.hardware.input,
android.hardware.usb,"Provides support to communicate with USB hardware peripherals that are connected to Android-powered devices.
For more information, see the USB guide."
android.icu.lang,
android.icu.math,
android.icu.text,
android.icu.util,
android.inputmethodservice,Base classes for writing input methods (such as software keyboards).
android.location,Contains the framework API classes that define Android location-based and related services.
android.media,Provides classes that manage various media interfaces in audio and video.
android.media.audiofx,Provides classes that manage audio effects implemented in the media framework.
android.media.browse,
android.media.effect,Provides classes that allow you to apply a variety of visual effects to images and videos.
android.media.midi,"Provides classes for sending and receiving messages using the standard MIDI event protocol over USB, Bluetooth LE, and virtual (inter-app) transports."
android.media.projection,
android.media.session,
android.media.tv,
android.mtp,"Provides APIs that let you interact directly with connected cameras and other devices, using the PTP (Picture Transfer Protocol) subset of the MTP (Media Transfer Protocol) specification."
